CODIGO TITULO MIDIA PRECO GENERO
LK79111 121212_CONCERTO_PARA_AS_VITIMAS_DO_FURACAO_SANDY DVD-S 39.9 DOCUMENTARIO
WB80250 300__A_ASCENSAO_DO_IMPERIO DVD-S 49.9 ACAO
WB80268 300__A_ASCENSAO_DO_IMPERIO_ BLU-R 79.9 ACAO
WB80276 300__A_ASCENSAO_DO_IMPERIO_(2D_+_3D) BLU-R 99.9 ACAO
WB80934 300_+_300__A_ASCENSAO_DO_IMPERIO_(DUPLO) DVD/D 59.9 ACAO
WB80942 300_+_300__A_ASCENSAO_DO_IMPERIO_(DUPLO) BLU-R 99.9 ACAO
CL80349 A_BATALHA_DO_ANO_ SELL 44.9 DRAMA
CL80357 A_BATALHA_DO_ANO_(2D_+_3D) BLU-R 89.9 DRAMA
FH79588 A_CONQUISTA_DO_IMPERIO_ SELL 39.9 ACAO
FH79596 A_CONQUISTA_DO_IMPERIO_ BLU-R 39.9 ACAO
EV79871 A_FITA_AZUL_(IDIOMA_INGLES) DVD-S 69.9 DRAMA
PA79235 A_GAIOLA_DOURADA_ SELL 39.99 COMEDIA
LK79057 A_GRANDE_VITORIA_ DVD-S 109.9 DRAMA
LK79065 A_GRANDE_VITORIA_ BLU-R 99.9 DRAMA
PA79201 A_GRANDE_VOLTA DVD-S 99.99 AVENTURA
FC80012 A_GUERRA_DE_MADDISON_ DVD-S 89.9 GUERRA
FC78921 A_INVOCACAO_2_ DVD-S 89.9 TERROR
FC78930 A_INVOCACAO_2_(2D_E_3D) BLU-R 89.9 TERROR
FC80004 A_INVOCACAO_2_(COMBO) DV+BD 119.9 TERROR
NL80985 A_LENDA_DOS_BEIJOS_PERDIDOS_(IDIOMA_INGLES) DVD-S 29.9 ROMANCE
VE80713 A_QUEIMA_ROUPA_(IDIOMA_INGLES) DVD-S 39.9 POLICIAL
IM80969 A_RELIGIOSA_(IDIOMA_FRANCES) SELL 39.9 DRAMA
CA80063 ACERTO_DE_CONTAS_(DOLPH_LUNDGREN) DVD-S 79.9 ACAO
WB80969 AGONIA_E_GLORIA_ BLU-R 49.9 DRAMA
LK79090 ALEMAO DVD-S 39.9 ACAO
LK79103 ALEMAO__ BLU-R 69.9 ACAO
